"wavenumber","P_1_A_BRose_AG_Leaves","P_1_A_BRose_AG_Stems","P_1_A_Cloud_AG_Leaves","P_5_CN_Cloud_AG_Leaves","P_1_A_Cloud_AG_Stems","P_3_A_Cloud_AG_Stems","P_2_CN_Crow_AG_Leaves","P_1_CN_Crow_AG_Stems","P_5_A_DBirch_AG_Stems","P_5_A_Lingon_AG_Stems","P_3_A_Lichen_AG","P_3_A_MossA_AG","P_2_A_SphagFusc_AG","T3Far_Sphagnum","Spruce_May2016_Green.Sphagnum.angustifolium","Spruce_May2016_Red.Sphagnum.magellanicum","Spruce_May2016_Eriophorum.vaginatum","Spruce_May2016_Eriophorum.viridicarinatum","Spruce_May2016_Carex.Trisperma","E_1_A_CarexRot_AG","E_2_A_ErioAng_AG","E_4_A_ErioAng.Litter_AG","E_2_CN_ErioAng_AG","E_3_CN_ErioAng_AG","Pocosin_Pinus","Pocosin_Ilex_inkberry","Pocosin_Persia","Pocosin_Gordonia_stem","Pocosin_Lyonia","Pocosin_Vaccinium","Everglades_Cladium_sawgrass","Brunei.Leaf.1","Brunei.Leaf.5","Brunei.Leaf.6","Brunei.Leaf.10","Brunei.S3.P7.Wood.Block","Brunei.S4.P7.B120.Wood.Block","Brunei.S28.P6.B205.Wood.Block","Brunei.S29.P6.B212.Wood.Block"
2559,0.008644487,0.008833439,0.011061638,0.011047854,0.008899054,0.008532349,0.010039142,0.008629998,0.003878877,0.008341899,0.009508819,0.012010627,0.009882444,0.005803808,0.007381826,0.007512304,0.004506708,0.008295797,0.007769668,0.010535468,0.011127947,0.008324336,0.010656359,0.014218945,0.011114119,0.007094227,0.006277924,0.007120209,0.008830295,0.008551191,0.006535153,0.010070158,0.009733133,0.010819655,0.011191272,0.007280535,0.008258425,0.005649699,0.007785993
2558,0.008571343,0.008856164,0.0110963,0.011092479,0.00893354,0.008545928,0.010107068,0.008654573,0.00395111,0.008252908,0.009505624,0.012029879,0.009935089,0.005828463,0.007291245,0.007460197,0.004445761,0.008207402,0.007697167,0.01054711,0.011170935,0.008393685,0.010685243,0.014242043,0.011054563,0.007018541,0.006220069,0.00705218,0.008728299,0.008505917,0.006482818,0.009996267,0.009706196,0.010834908,0.011111438,0.007238609,0.008222142,0.005524476,0.007822251
2557,0.008519458,0.008827428,0.011096484,0.011086993,0.008950407,0.008517265,0.010115817,0.008641943,0.004010272,0.00818762,0.009447338,0.011984583,0.009920249,0.005849538,0.007236859,0.007417457,0.004442524,0.008142725,0.007683991,0.010499877,0.011111083,0.008427349,0.010664303,0.014263534,0.011027971,0.006938032,0.006159708,0.006973607,0.008625941,0.008493715,0.006421482,0.009893708,0.009673867,0.010828446,0.010989231,0.007223065,0.008162722,0.005432536,0.007807697
2556,0.008450962,0.008723168,0.011042795,0.010983985,0.00891462,0.00843992,0.010039544,0.008576145,0.00401558,0.008140738,0.009324683,0.011890337,0.009817616,0.005849652,0.007250736,0.007371651,0.004473123,0.008113978,0.007710612,0.010384019,0.010965856,0.008379776,0.010585913,0.01426657,0.011016447,0.006909707,0.006126347,0.006921781,0.008579471,0.00853072,0.006369656,0.009809844,0.009643163,0.010788256,0.010876185,0.007246773,0.008142099,0.005402122,0.00773605
2555,0.008370397,0.008586216,0.010981743,0.0108263,0.008837824,0.00834098,0.009912003,0.008476651,0.003990411,0.008100396,0.009175455,0.011792958,0.009674383,0.005817787,0.007331981,0.007332932,0.004500641,0.008115225,0.007726588,0.010266462,0.010825617,0.008272388,0.010503458,0.014241517,0.011006382,0.006948013,0.006134402,0.006910258,0.008612715,0.008599088,0.006332807,0.009767636,0.009618011,0.010725205,0.010826043,0.007293614,0.008186395,0.005452046,0.007639565
2554,0.008325715,0.008499286,0.010982001,0.010701301,0.008770896,0.008263418,0.009790597,0.008382367,0.003982844,0.008076617,0.009063837,0.011735268,0.009570348,0.005761609,0.007446164,0.007329915,0.004513791,0.008137695,0.007704214,0.010221421,0.010773241,0.008170349,0.010474961,0.014182702,0.010993391,0.007010516,0.006162547,0.0069157,0.008703677,0.008651307,0.006311997,0.009752147,0.009596984,0.010648115,0.010847799,0.007322452,0.00826408,0.005582138,0.007538983
2553,0.008345793,0.00849743,0.011050957,0.01065153,0.008745313,0.008221021,0.009708075,0.008316689,0.00400616,0.008092778,0.009020447,0.011722828,0.00954041,0.005708408,0.007544618,0.00737119,0.004524531,0.008169283,0.007665812,0.010241199,0.010799864,0.008122632,0.010497015,0.014089911,0.010970101,0.007038653,0.006165368,0.00690266,0.008800382,0.008645433,0.006309723,0.009739748,0.009570768,0.010557394,0.010899958,0.007314904,0.008327019,0.005754774,0.007433242
2552,0.008399651,0.008534024,0.011118705,0.010655257,0.008737926,0.008191089,0.009666568,0.008275699,0.004035625,0.00814791,0.009023433,0.011730326,0.009549253,0.005685892,0.007593247,0.00742995,0.004541479,0.00818995,0.007654662,0.010249425,0.010819612,0.008134055,0.010513812,0.013975484,0.010928432,0.007011118,0.006115305,0.00686016,0.008850744,0.008581915,0.006321475,0.009732644,0.009526627,0.010463364,0.010932936,0.007294014,0.008360728,0.005903686,0.007333988
2551,0.008431474,0.008547302,0.011113375,0.010674785,0.008705534,0.00815775,0.009660423,0.008251837,0.004051829,0.008204313,0.009040843,0.011741852,0.009546656,0.005703671,0.007595446,0.007473469,0.004561459,0.008189051,0.007688721,0.010197638,0.010767673,0.00818755,0.010486035,0.013865914,0.010878316,0.006956006,0.006035286,0.006808391,0.008830157,0.008504945,0.006331521,0.009757559,0.009462351,0.010388522,0.010938335,0.007284519,0.00838256,0.005986164,0.007279795
2550,0.008420979,0.008531158,0.011033628,0.010685579,0.008637443,0.00813745,0.009680823,0.008254523,0.004061598,0.008219847,0.009063503,0.011767921,0.009523923,0.005753942,0.007584483,0.007493733,0.004580384,0.008183127,0.007745641,0.010112268,0.010661825,0.008272135,0.010428446,0.013789692,0.010846348,0.006914042,0.005980551,0.006770151,0.00875036,0.008461458,0.006324737,0.009828988,0.009394988,0.010342539,0.010948015,0.007272733,0.008403565,0.006017478,0.0072973
